id,created_at,text
1241016274676826113,Fri Mar 20 14:58:31 +0000 2020,"""Schule ist besser.""
Fakten, die 9 Jahre alte Weltbilder verändern und Sätze, die Eltern immer schon mal hören wollten.

#homeschooling #coronaferien #coronavirus #zuhausemitkindern #lernenmitkindern #stayhome #COVID19 #flattenthecurve #corona #coronakrise"
1241016287096180736,Fri Mar 20 14:58:34 +0000 2020,"@schulzeeuropa Autoritäre Machtfantasien, die man dank #Coronakrise ausnutzen kann?"
1241016291701514242,Fri Mar 20 14:58:35 +0000 2020,"Die #Coronakrise ist eine historische Herausforderung, wie sie Deutschland seit vielen Jahrzehnten nicht mehr erlebt hat. Unsere Branche trägt an vielen Stellen dazu bei, dass wir sie meistern, sagt @GrosseEntrupVCI: https://t.co/P4Ko50Qt63 #Covid_19 #CoronaVirusDE https://t.co/SGXaz5fY6w"
1241016311112708096,Fri Mar 20 14:58:40 +0000 2020,Und weiterhin bleiben die Virenschleudern KITA geöffnet. Ein Skandal! @BAG_OFSP_UFSP #Bundesrat #Corona #CoronaInfoCH https://t.co/QDhBkOth1U
1241016349826187264,Fri Mar 20 14:58:49 +0000 2020,"die solidarität bröckelt. jetzt wirds hässlich! 
#Coronakrise"
1241016370940252160,Fri Mar 20 14:58:54 +0000 2020,"Keine #Coronaparies, keine heimischen Skatabende, kein Kaffeekränzchen. Hilft nix. Oder viel. Unser Aushang für MFH. #vnw #gdw #bfw #corona #coronakrise #StayAtHome https://t.co/df9aFD2rSU"
1241016372387291136,Fri Mar 20 14:58:54 +0000 2020,"@spdde Während Sie noch schwätzen, handelt Bayern und sein Ministerpräsident Söder zeigt Führungsstärke. Es ist offensichtlich, dass die SPD die Zeichen der Zeit wieder nicht erkannt hat. #Coronakrise"
1241016376577462272,Fri Mar 20 14:58:55 +0000 2020,"Information: Coronavirus - ganze Schweiz #Alertswiss  #CoronaInfoCH
Der Bundesrat verbietet Ansammlungen von mehr als fünf Personen. 

https://t.co/AnCBh2yZQU"
1241016390364147712,Fri Mar 20 14:58:59 +0000 2020,"Alle 11 Minuten hält ein Politiker in Deutschland eine Pressekonferenz.

#Ausgangssperre #Coronakrise #Covid_19"
1241016395590230018,Fri Mar 20 14:59:00 +0000 2020,Ein #Franke darf nicht #Bundeskanzlerin werden. #meineMeinung #Coronakrise #AusgangsSperreNo #starkeSchulter @Markus_Soeder @CDU @CSU
